"","year","series","episode","rating","votes"
"586",1994,"The Next Generation","Sub Rosa",4.8,2315
"587",1996,"Deep Space Nine","Rules Of Engagement",7.4,1409
"588",1997,"Deep Space Nine","The Darkness And The Light",7,1338
"589",1998,"Deep Space Nine","Profit And Lace",5.9,1398
"590",1996,"Voyager","Threshold",5.3,1685
"591",1996,"Voyager","Sacred Ground",6,1421
"592",1999,"Voyager","The Fight",5.2,1344
"593",1966,"The Original Series","Mudd's Women",6.8,3394
"594",1967,"The Original Series","The Alternative Factor",5.8,2738
"595",1989,"The Next Generation","Shades of Gray",3.3,2933
"596",1995,"Voyager","The Cloud",6.6,1542
"597",1996,"Voyager","Macrocosm",7.3,1312
