"","year","series","episode","rating","votes"
"221",1994,"The Next Generation","The Pegasus",8.6,2403
"222",1994,"The Next Generation","Lower Decks",8.8,2869
"223",1994,"The Next Generation","Preemptive Strike",8,2006
"224",1993,"Deep Space Nine","Past Prologue",7.1,1872
"225",1993,"Deep Space Nine","A Man Alone",6.9,1825
"226",1993,"Deep Space Nine","Babel",7,1788
"227",1993,"Deep Space Nine","Dax",7.2,1740
"228",1993,"Deep Space Nine","The Passenger",6.4,1643
"229",1993,"Deep Space Nine","The Forsaken",7,1543
"230",1993,"Deep Space Nine","In The Hands Of The Prophets",7.8,1658
"231",1993,"Deep Space Nine","The Homecoming",7.7,1634
"232",1993,"Deep Space Nine","The Circle",7.7,1605
"233",1993,"Deep Space Nine","The Siege",7.9,1609
"234",1993,"Deep Space Nine","Necessary Evil",8.2,1692
"235",1993,"Deep Space Nine","Second Sight",6.3,1493
"236",1994,"Deep Space Nine","Whispers",8.3,1722
"237",1994,"Deep Space Nine","Profit And Loss",7.3,1469
"238",1994,"Deep Space Nine","Blood Oath",8,1667
"239",1994,"Deep Space Nine","The Maquis, Part I",7.9,1524
"240",1994,"Deep Space Nine","The Maquis, Part II",7.9,1503
"241",1994,"Deep Space Nine","The House Of Quark",8.1,1645
"242",1994,"Deep Space Nine","Equilibrium",6.8,1412
"243",1995,"Deep Space Nine","Past Tense, Part I",8,1626
"244",1995,"Deep Space Nine","Past Tense, Part II",8.1,1604
"245",1995,"Deep Space Nine","Heart Of Stone",7.4,1425
"246",1995,"Deep Space Nine","Destiny",7.5,1400
"247",1995,"Deep Space Nine","Visionary",7.9,1451
"248",1995,"Deep Space Nine","Through The Looking Glass",7.6,1419
"249",1995,"Deep Space Nine","Improbable Cause",8.7,1647
"250",1995,"Deep Space Nine","Facets",7.3,1366
"251",1995,"Deep Space Nine","Indiscretion",7.8,1464
"252",1996,"Deep Space Nine","Crossfire",7.3,1383
"253",1996,"Deep Space Nine","Bar Association",7.5,1416
